code,idgrade,mean_dropout
1505502,5,2.15
1505502,9,7.525
1505536,5,1.76
1505536,9,5.6375
1505551,5,3.025
1505551,9,8.887500000000001
1505601,5,1.839999999999999
1505601,9,4.575
1505635,5,3.755
1505635,9,9.881250000000001
1505650,5,5.515
1505650,9,8.1625
1505700,5,3.195000000000001
1505700,9,7.393749999999999
1505809,5,7.739999999999999
1505809,9,12.95
1505908,5,7.38
1505908,9,11.90625
1506005,5,5.660000000000001
1506005,9,10.25
1506104,5,2.71
1506104,9,9
1506112,5,3.92
1506112,9,8.856249999999999
1506138,5,2.045
1506138,9,7.937499999999999
1506161,5,2.3
1506161,9,7.175000000000001
1506187,5,2.77
1506187,9,9.5375
1506195,5,5.135
1506195,9,13.7875
1506203,5,3.16
1506203,9,8.143749999999999
1506302,5,6.794999999999999
1506302,9,9.125000000000002
1506351,5,3.985
1506351,9,6.65625
1506401,5,7.805
1506401,9,10.925
1506500,5,2.274999999999999
1506500,9,4.5375
1506559,5,4.140000000000001
1506559,9,8.75
1506583,5,3.139999999999999
1506583,9,11.66875
1506609,5,6.065
1506609,9,8.49375
1506708,5,4.035000000000001
1506708,9,7.5625
1506807,5,3.245
1506807,9,6.762500000000001
1506906,5,2.585
1506906,9,7.93125
1507003,5,2.175
1507003,9,4.3625
1507102,5,3.839999999999999
1507102,9,7.0375
1507151,5,3.140000000000001
1507151,9,6.937499999999999
1507201,5,3.245
1507201,9,8.425000000000001
1507300,5,5.175000000000001
1507300,9,11.20625
1507409,5,2.645
1507409,9,5.218749999999999
1507458,5,2.935
1507458,9,8.637500000000001
1507466,5,1.56
1507466,9,6.593750000000001
1507474,5,3.29
1507474,9,8.762500000000001
1507508,5,6.75
1507508,9,9.00625
1507607,5,2.115
1507607,9,6.756249999999999
1507706,5,2.55
1507706,9,11.49375
1507755,5,2.3
1507755,9,6.431250000000001
1507805,5,10.015
1507805,9,14.80625
1507904,5,4.430000000000001
1507904,9,7.643749999999999
1507953,5,2.445
1507953,9,6.568749999999999
1507961,5,3.77
1507961,9,6.01875
1507979,5,1.535
1507979,9,5.975000000000001
1508001,5,4.034999999999999
1508001,9,7.693750000000001
1508035,5,1.855
1508035,9,9.175000000000001
1508050,5,2.995
1508050,9,8.443750000000001
1508084,5,2.97
1508084,9,7.612499999999999
1508100,5,2.515
1508100,9,6.53125
1508126,5,1.605
1508126,9,6.462499999999999
1508159,5,3.915000000000001
1508159,9,9.2125
1508209,5,2.555000000000001
1508209,9,7.218750000000001
1508308,5,2.785
1508308,9,7.9625
1508357,5,4.475000000000001
1508357,9,8.4625
1508407,5,2.185
1508407,9,7.862500000000001
1600055,5,1.665
1600055,9,3.18125
1600105,5,3.44
1600105,9,6.606249999999999
1600154,5,3.455
1600154,9,5.737500000000001
1600204,5,2.34
1600204,9,7.8375
1600212,5,3.385
1600212,9,7.5
1600238,5,4.335
1600238,9,4.306250000000001
1600253,5,3.645
1600253,9,6.781249999999999
1600279,5,2.7
1600279,9,4.493749999999999
1600303,5,2.235
1600303,9,3.70625
1600402,5,3.225
1600402,9,8.15
1600501,5,4.449999999999998
1600501,9,6.1375
1600535,5,2.804999999999999
1600535,9,5.15625
1600550,5,2.975
1600550,9,5.08125
1600600,5,1.58
1600600,9,3.387499999999999
1600709,5,2.67
1600709,9,7.606250000000001
1600808,5,3.729999999999999
1600808,9,8.0625
1700251,5,.925
1700251,9,4.75625
1700301,5,1.54
1700301,9,4.668749999999999
1700350,5,1.21
1700350,9,5.399999999999999
1700400,5,1.455
1700400,9,6.85
1700707,5,.6749999999999999
1700707,9,3.6375
1701002,5,1.98
1701002,9,4.06875
1701051,5,.8950000000000001
1701051,9,4.59375
1701101,5,.905
1701101,9,4.95625
1701309,5,1.725
1701309,9,6.6125
1701903,5,.9099999999999999
1701903,9,6.137499999999998
1702000,5,.79
1702000,9,4.793749999999999
1702109,5,.9850000000000001
1702109,9,4.456249999999999
1702158,5,2.485
1702158,9,5.993750000000001
1702208,5,1.435
1702208,9,5.2
1702307,5,1.345
1702307,9,4.20625
1702406,5,1.31
1702406,9,5.249999999999999
1702554,5,.8050000000000003
1702554,9,6.49375
1702703,5,.8150000000000001
1702703,9,5.75625
1702901,5,1.405
1702901,9,5.425
1703008,5,1.175
1703008,9,5.4625
1703057,5,2.17
1703057,9,5.2
1703073,5,2.315
1703073,9,8.318750000000001
1703107,5,.66
1703107,9,6.599999999999999
1703206,5,1.39
1703206,9,4.75
1703305,5,1.135
1703305,9,6.493749999999999
1703602,5,.7899999999999998
1703602,9,5.168750000000001
1703701,5,.9800000000000002
1703701,9,3.8125
1703800,5,1.14
1703800,9,5.2
1703826,5,2.015
1703826,9,4.50625
1703842,5,2.055
1703842,9,7.65625
1703867,5,2.49
1703867,9,6.13125
1703883,5,1.525
1703883,9,6.14375
1703891,5,2.38
1703891,9,5.043749999999999
1703909,5,1.35
1703909,9,5.91875
1704105,5,1.53
1704105,9,6.268749999999999
1704600,5,1.595
1704600,9,3.09375
1705102,5,1.205
1705102,9,6.562499999999999
1705508,5,1.045
1705508,9,5.774999999999999
1705557,5,.635
1705557,9,4.449999999999999
1705607,5,2.815
1705607,9,9.56875
1706001,5,3.759999999999999
1706001,9,8.050000000000001
1706100,5,.9299999999999999
1706100,9,5.3625
1706258,5,2.635
1706258,9,4.625
1706506,5,2.36
1706506,9,8.94375
1707009,5,.9850000000000001
1707009,9,5.7625
1707108,5,.875
1707108,9,4.6875
1707207,5,.8599999999999998
1707207,9,7.80625
1707306,5,1.75
1707306,9,6.675000000000001
1707405,5,1.94
1707405,9,5.487500000000001
1707553,5,.86
1707553,9,5
1707652,5,.645
1707652,9,5.612500000000001
1707702,5,1.965
1707702,9,5.14375
1708205,5,1.605
1708205,9,6.168750000000001
1708254,5,.71
1708254,9,4.9375
1708304,5,1.505
1708304,9,6.962499999999999
1709005,5,4.505000000000001
1709005,9,7.106249999999999
1709302,5,.8200000000000001
1709302,9,5.875
1709500,5,1.285
1709500,9,5.337499999999999
1709807,5,1.965
1709807,9,2.53125
1710508,5,1.51
1710508,9,5.1125
1710706,5,3.24
1710706,9,10.0125
1710904,5,.9349999999999999
1710904,9,6.625
1711100,5,.64
1711100,9,4.487500000000001
1711506,5,.7000000000000001
1711506,9,8.856249999999999
1711803,5,.9349999999999998
1711803,9,6.925
1711902,5,3.81
1711902,9,9.737500000000001
1711951,5,1.86
1711951,9,4.868749999999999
1712009,5,.9
1712009,9,4.56875
1712157,5,.9199999999999999
1712157,9,6.66875
1712405,5,1.76
1712405,9,7.46875
1712454,5,1.595
1712454,9,4.29375
1712504,5,1.505
1712504,9,6.24375
1712702,5,1.46
1712702,9,3.006250000000001
1712801,5,1.64
1712801,9,6.656249999999999
1713205,5,1.015
1713205,9,4.862500000000001
1713304,5,.885
1713304,9,5.43125
1713601,5,1.65
1713601,9,7.668750000000001
1713700,5,1.125
1713700,9,4.481249999999999
1713809,5,2.44
1713809,9,6.425
1713957,5,3.175
1713957,9,6.331250000000001
1714203,5,1.14
1714203,9,5.28125
1714302,5,.725
1714302,9,3.525
1714880,5,1.77
1714880,9,5.725000000000001
1715002,5,.75
1715002,9,3.2625
1715101,5,1.075
1715101,9,7.143750000000001
1715150,5,3.57
1715150,9,5.775
1715259,5,1.49
1715259,9,7.743749999999999
1715507,5,1.015
1715507,9,7.95
1715705,5,2.445
1715705,9,6.775
1715754,5,.7999999999999998
1715754,9,4.768750000000001
1716109,5,.6799999999999999
1716109,9,4.3375
1716208,5,2.465
1716208,9,6.581249999999999
1716307,5,2.37
1716307,9,6.668750000000001
1716505,5,.7200000000000002
1716505,9,3.756250000000001
1716604,5,1.78
1716604,9,5.3875
1716653,5,.915
1716653,9,3.96875
1716703,5,1.025
1716703,9,3.0875
1717008,5,.9650000000000001
1717008,9,5.656249999999999
1717206,5,1.12
1717206,9,4.8625
1717503,5,1.885
1717503,9,8.081250000000001
1717800,5,1.54
1717800,9,8.325000000000001
1717909,5,1.24
1717909,9,4.59375
1718006,5,.7400000000000001
1718006,9,6.9
1718204,5,1.175
1718204,9,4.756250000000001
1718303,5,1.405
1718303,9,6.349999999999999
1718402,5,.76
1718402,9,3.90625
1718451,5,1.165
1718451,9,7.30625
1718501,5,3.405
1718501,9,9.081250000000001
1718550,5,1.225
1718550,9,7.687500000000001
1718659,5,1.955
1718659,9,6.493749999999999
1718709,5,.8899999999999999
1718709,9,8.53125
1718758,5,1.545
1718758,9,4.775
1718808,5,1.17
1718808,9,6.774999999999998
1718840,5,2.01
1718840,9,7.093749999999999
1718865,5,2.22
1718865,9,9.112500000000001
1718881,5,.9400000000000001
1718881,9,6.175
1718899,5,2.765000000000001
1718899,9,5.78125
1718907,5,1.43
1718907,9,5.393750000000001
1719004,5,1.275
1719004,9,4.106250000000001
1720002,5,.73
1720002,9,5.275000000000001
1720101,5,1.065
1720101,9,5.856250000000001
1720150,5,1.26
1720150,9,3.75625
1720200,5,1.22
1720200,9,5.7875
1720259,5,1.635
1720259,9,6.13125
1720309,5,.8700000000000001
1720309,9,7.53125
1720499,5,1.72
1720499,9,5.425
1720655,5,2.2
1720655,9,5.45
1720804,5,1.18
1720804,9,5.6
1720853,5,.8700000000000001
1720853,9,6.34375
1720903,5,1.655
1720903,9,7.33125
1720937,5,1.76
1720937,9,10.7125
1720978,5,.8949999999999999
1720978,9,5.475000000000001
1721000,5,.8799999999999999
1721000,9,3.212499999999999
1721109,5,4.084999999999999
1721109,9,7.681249999999999
1721208,5,1.3
1721208,9,5.4375
1721257,5,1.045
1721257,9,4.0375
1721307,5,.5650000000000001
1721307,9,8.449999999999999
1722081,5,.9800000000000001
1722081,9,3.924999999999999
1722107,5,1.51
1722107,9,5.443750000000001
2100055,5,1.525000000000001
2100055,9,5.631250000000001
2100105,5,3.45
2100105,9,12.075
2100154,5,2.925
2100154,9,4.118749999999999
2100204,5,2.75
2100204,9,6.89375
2100303,5,2.23
2100303,9,8.537500000000001
2100402,5,2.035
2100402,9,5.95625
2100436,5,1.555
2100436,9,7.41875
2100477,5,.95
2100477,9,6.218749999999999
2100501,5,4.04
2100501,9,9.34375
2100550,5,2.25
2100550,9,6.91875
2100600,5,8.390000000000001
2100600,9,12.50625
2100709,5,5.089999999999998
2100709,9,8.356249999999999
2100808,5,5.554999999999999
2100808,9,10.94375
2100832,5,1.63
2100832,9,5.64375
2100873,5,5.705
2100873,9,7.48125
2100907,5,10.09
2100907,9,12.76875
2100956,5,10.48
2100956,9,14.925
2101004,5,1.355
2101004,9,5.55625
2101103,5,1.295
2101103,9,2.768750000000001
2101202,5,2.04
2101202,9,5.31875
2101251,5,1.185
2101251,9,4.106249999999999
2101301,5,3.245
2101301,9,10.9
2101350,5,1.488235294117647
2101350,9,2.425
2101400,5,3.16
2101400,9,7.71875
2101509,5,2.07
2101509,9,6.5
2101608,5,7.845000000000002
2101608,9,10.98125
2101707,5,.7300000000000001
2101707,9,6.95625
2101731,5,7.245
2101731,9,7.025
2101772,5,7.505
2101772,9,13.50625
2101806,5,3.385
2101806,9,4.93125
2101905,5,1.54
2101905,9,3.96875
2101939,5,2.45
2101939,9,7.8
2101970,5,2.2
2101970,9,5.7
2102002,5,5.125
2102002,9,11.30625
2102036,5,3.734999999999999
2102036,9,11.39375
2102077,5,5.95
2102077,9,12.24375
2102101,5,3.585
2102101,9,7.737500000000001
2102150,5,4.145
2102150,9,8.825000000000001
2102200,5,1.265
2102200,9,7.918749999999998
2102309,5,1.515
2102309,9,6.199999999999999
2102325,5,3.775
2102325,9,9.362499999999999
2102358,5,3.749999999999999
2102358,9,8.293750000000001
2102374,5,2.094736842105263
2102374,9,6.131249999999999
2102408,5,5.455000000000002
2102408,9,4.65625
2102507,5,5.850000000000001
2102507,9,12.05625
2102556,5,2.245
2102556,9,4.868749999999999
2102606,5,6.454999999999998
2102606,9,11.19375
2102705,5,2.52
2102705,9,6.6625
2102754,5,2.78
2102754,9,5.275
2102804,5,3.31
2102804,9,7.112499999999999
2102903,5,1.835
2102903,9,6.91875
2103000,5,2.085
2103000,9,4.881250000000001
2103109,5,1.705
2103109,9,3.54375
2103125,5,4.1
2103125,9,6.5
2103158,5,7.965000000000001
2103158,9,8.706250000000001
2103174,5,5.81
2103174,9,9.34375
2103208,5,1.625
2103208,9,7.712499999999999
2103257,5,2.59
2103257,9,6.393750000000001
2103307,5,5.86
2103307,9,10.0875
2103406,5,1.39
2103406,9,6.418750000000001
2103505,5,5.705
2103505,9,9.525
2103554,5,2.87
2103554,9,12.61875
2103604,5,5.200000000000001
2103604,9,7.1875
2103703,5,1.925
2103703,9,6.018749999999999
2103752,5,2.165
2103752,9,6.774999999999999
2103802,5,3.595
2103802,9,6.131250000000001
2103901,5,3.119999999999999
2103901,9,7.3
2104008,5,2
2104008,9,6.7875
2104057,5,2.17
2104057,9,8.3375
2104073,5,2.225
2104073,9,7.475
2104081,5,13.84
2104081,9,17.575
2104099,5,2.220000000000001
2104099,9,5.699999999999999
2104107,5,3.095
2104107,9,6.812499999999999
2104206,5,5.949999999999999
2104206,9,10.40625
2104305,5,1.88
2104305,9,5.34375
2104404,5,6.140000000000001
2104404,9,10.7875
2104503,5,5.459999999999999
2104503,9,8.68125
2104552,5,2.489999999999999
2104552,9,4.8
2104602,5,5.519999999999998
2104602,9,10.13125
2104628,5,2.75
2104628,9,5.637499999999999
2104651,5,4.425
2104651,9,11.19375
2104677,5,2.73
2104677,9,6.6875
2104701,5,3.205
2104701,9,4.824999999999999
2104800,5,12.52
2104800,9,17.75625
2104909,5,5.305000000000001
2104909,9,6.68125
2105005,5,2.605
2105005,9,9.237499999999999
2105104,5,2.875
2105104,9,4.25625
2105153,5,8.645
2105153,9,15.125
2105203,5,2.415
2105203,9,5.6375
2105302,5,1.54
2105302,9,3.912500000000001
2105351,5,13.445
2105351,9,13.94375
2105401,5,1.675
2105401,9,4.89375
2105427,5,2.64
2105427,9,9.162500000000001
2105450,5,1.394117647058824
2105450,9,7.79375
2105476,5,18.465
2105476,9,19.61875
2105500,5,7.33
2105500,9,12.3375
2105609,5,3.259999999999999
2105609,9,8.300000000000001
2105658,5,1.41
2105658,9,6.48125
2105708,5,2.835
2105708,9,8.0875
2105807,5,3.03
2105807,9,7.25625
2105906,5,3.045
2105906,9,8.168750000000001
2105922,5,1.685
2105922,9,6.64375
2105948,5,1.91
2105948,9,5.131250000000001
2105963,5,3.29
2105963,9,13.44375
2105989,5,1.29
2105989,9,5.231249999999998
2106003,5,2.185
2106003,9,7.462499999999999
2106102,5,1.805
2106102,9,4.28125
2106201,5,2.260000000000001
2106201,9,6.36875
2106300,5,1.185
2106300,9,8.175000000000001
2106326,5,6.445
2106326,9,10.03125
2106359,5,4.89
2106359,9,21.8625
2106375,5,3.345
2106375,9,16.9875
2106409,5,2.325
2106409,9,6.1625
2106508,5,5.59
2106508,9,10.40625
2106607,5,3.84
2106607,9,12.0375
2106631,5,16.17
2106631,9,15.30625
2106672,5,2.510000000000001
2106672,9,6.068750000000001
2106706,5,6.685
2106706,9,8.5375
2106755,5,2.779999999999999
2106755,9,8.993749999999999
2106805,5,4.315
2106805,9,6.099999999999999
2106904,5,6.635
2106904,9,8.93125
2107001,5,3.515
2107001,9,5.275
2107100,5,4.495
2107100,9,8.837499999999999
2107209,5,2.125
2107209,9,6.175
2107258,5,2.095
2107258,9,6.19375
2107308,5,6.31
2107308,9,8.574999999999999
2107357,5,2.855000000000001
2107357,9,8.456250000000001
2107407,5,4.919999999999999
2107407,9,13.21875
2107456,5,2.755
2107456,9,5.850000000000001
2107506,5,3.52
2107506,9,4.33125
2107605,5,3.675
2107605,9,9.168750000000001
2107704,5,3.28
2107704,9,11.85625
2107803,5,3.155
2107803,9,8.168749999999999
2107902,5,2.46
2107902,9,11.03125
2108009,5,2.685
2108009,9,6.7375
2108058,5,.7899999999999999
2108058,9,6.662500000000001
2108108,5,5.640000000000001
2108108,9,13.16875
2108207,5,1.55
2108207,9,4.3625
2108256,5,6.94
2108256,9,11.23125
2108306,5,4.915
2108306,9,10.2375
2108405,5,2.831578947368421
2108405,9,5.675
2108454,5,4.27
2108454,9,8.356250000000001
2108504,5,5.94
2108504,9,17.875
2108603,5,1.11
2108603,9,4.300000000000001
2108702,5,7.810000000000002
2108702,9,9.80625
2108801,5,5.495000000000001
2108801,9,8.24375
2108900,5,2.06
2108900,9,6.800000000000001
2109007,5,1.25
2109007,9,5.475
2109056,5,4.873684210526315
2109056,9,8.450000000000001
2109106,5,3.48
2109106,9,5.356250000000001
2109205,5,.835
2109205,9,4.324999999999999
2109239,5,2.125
2109239,9,10.79375
2109270,5,2.16
2109270,9,7.35625
2109304,5,4.735
2109304,9,8.737500000000001
2109403,5,3.46
2109403,9,11.64375
2109452,5,1.96
