numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
16046,Professores Rede Municipal,Novo Gama/GO,,categoria,poder executivo/municipal,9/29/1997,5,-,defensiva,protesto
16047,Professores Rede Municipal,Santo Amaro/BA,,categoria,poder executivo/municipal,10/6/1997,1,-,defensiva,-
16071,Professores Rede Municipal Ensino Superior,Francisco Beltrão/PR,FACULDADE DE CIÊNCIAS HUMANAS DE FRANCISCO BELTRÃO,categoria,poder executivo/municipal,6/26/1997,7,-,-,protesto
16074,Rede Pública Estadual de ENSINO,Belo Horizonte/MG,Empregador não identificado,categoria,poder executivo/estadual,7/2/1997,1,propositiva,-,-
16129,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Quixadá/CE,,categoria,poder executivo/municipal,10/28/1997,7,-,defensiva,-
16131,Professores Rede Municipal ,Salvador/BA,,categoria,poder executivo/municipal,5/14/2002,14,propositiva,-,-
16184,Professores Rede Federal Ensino Superior,Catalão/GO,Universidade Federal GO,categoria,poder executivo/federal,8/13/1997,15,-,defensiva,-
16185,Professores Rede Municipal,Betim/MG,,categoria,poder executivo/municipal,8/28/1997,1,propositiva,defensiva,-
16186,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,8/4/1997,4,propositiva,defensiva,-
16187,Professores Rede Estadual,Maceió/AL,,categoria,poder executivo/estadual,8/4/1997,1,propositiva,-,-
16188,Professores Rede Federal,Manaus/AM,ESCOLA DE ENFERMAGEM DE MANAUS,categoria,poder executivo/federal,7/29/1997,9,-,defensiva,-
16189,Professores Rede Federal Ensino Superior,Rio de Janeiro/RJ,UFRJ - UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,categoria,poder executivo/federal,8/12/1997,1,propositiva,-,protesto
16229,Professores Rede Estadual,RN,,categoria,poder executivo/estadual,6/7/2002,27,-,defensiva,-
16232,Professores Rede Estadual Ensino Superior,SP,,categoria,poder executivo/estadual,6/10/2002,9,propositiva,-,-
16278,Professores Rede Municipal ,São Gonçalo do Amarante/RN,ESCOLA MUNICIPAL DOM JOAQUIM DE ALMEIDA,categoria,poder executivo/municipal,7/22/2002,1,-,defensiva,-
16285,Professores Rede Estadual,BA,,categoria,poder executivo/estadual,9/2/2002,2,propositiva,defensiva,-
16314,Professores Rede Municipal,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,8/8/2002,1,propositiva,-,-
16315,Professores Rede Municipal ,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,8/21/2002,1,propositiva,-,-
