code,year,hlo,eys,lays
150020,2017,.55664957,9.0810003,.57372493
150030,2017,.55649328,9.3240004,.57989949
150034,2017,.54598516,9.8880005,.5897221
150040,2017,.55927598,9.8710003,.59550178
150050,2017,.52552938,8.6749992,.55140668
150060,2017,.61666596,10.921999,.65627062
150070,2017,.54413295,9.3289995,.5747025
150080,2017,.56403774,10.502,.61500919
150085,2017,.55854958,10.297001,.6065979
150090,2017,.55408609,9.7089996,.58882266
150095,2017,.54908788,10.012,.59440011
150100,2017,.52550352,9.5340004,.5716731
150110,2017,.55689538,9.2960005,.57935029
150120,2017,.5275588,9.5799999,.57368261
150125,2017,.52977967,10.070001,.58671892
150130,2017,.55717623,9.816,.59305942
150140,2017,.57218385,10.303,.61361772
150145,2017,.54448408,10.175,.59643203
150150,2017,.5652281,10.555001,.61710179
150157,2017,.59007746,10.118001,.61732006
150160,2017,.50343233,9.7600002,.56726992
150170,2017,.56822312,9.6399994,.59345949
150172,2017,.55167007,10.771,.61592078
150175,2017,.54727435,9.9779997,.59265447
150178,2017,.54544318,9.8139992,.58756894
150180,2017,.58002627,9.4960003,.59489781
150190,2017,.54970133,9.7360001,.58751786
150195,2017,.54190737,9.5750008,.57990038
150200,2017,.55943394,9.7129993,.5913794
150210,2017,.56832439,9.7080002,.59534359
150215,2017,.53005505,10.284,.59219867
150220,2017,.56306052,9.8529997,.59680003
150230,2017,.57566822,9.6029997,.59586054
150240,2017,.56765217,10.142,.60687667
150250,2017,.58563209,9.3640003,.59375334
150260,2017,.56383717,10.61,.61790842
150270,2017,.53350204,10.544,.60050738
150275,2017,.52336919,9.3319998,.56593645
150276,2017,.5057404,9.8670006,.5707587
150277,2017,.53560334,10.471,.59969395
150280,2017,.55134785,8.5889997,.55925047
150285,2017,.53780347,10.703,.60682726
150290,2017,.56877005,9.3660002,.58635378
150293,2017,.56970143,9.6529999,.59448856
150295,2017,.51167369,9.9089994,.5744248
150300,2017,.57803273,10.366,.61838192
150304,2017,.55132055,10.39,.60547477
150307,2017,.533934,9.9209995,.58495092
150309,2017,.54749799,9.8780003,.59016967
150310,2017,.52679157,8.8290005,.5554834
150320,2017,.54752266,9.6300011,.58380485
150330,2017,.55764949,9.776,.59222215
150340,2017,.51359236,9.0749998,.55591941
150345,2017,.54825354,9.5100002,.58106732
150350,2017,.56939113,10.052001,.60524714
150360,2017,.56557143,9.823,.59717125
150370,2017,.54368526,10.008999,.59175628
150375,2017,.59414726,9.7159996,.60763478
150380,2017,.52675349,9.868,.58032924
150390,2017,.56097102,10.496001,.61326152
150400,2017,.56581247,9.6660004,.59305477
150405,2017,.55998826,9.9619999,.59827083
150410,2017,.5174799,9.8920002,.57666886
150420,2017,.55465889,10.440999,.60853273
150430,2017,.54340321,10.076001,.59334844
150440,2017,.53667945,9.8010006,.5832144
150442,2017,.55492604,9.7930002,.59140825
150445,2017,.55238521,9.4350004,.58096796
150450,2017,.55533946,9.6869993,.58882034
150460,2017,.55753762,9.5170002,.58536881
150470,2017,.54096448,10.135,.59369713
150475,2017,.56089127,11.013,.62761253
150480,2017,.56759942,10.173999,.60773307
150490,2017,.54308522,9.9720001,.59052205
150495,2017,.52932411,9.1709995,.56459564
150497,2017,.59603328,9.2200003,.59430307
150500,2017,.58419114,10.101001,.6138978
150503,2017,.58016551,9.9829998,.60856193
150506,2017,.5383333,9.6340008,.5797863
150510,2017,.54489386,9.9880009,.59178734
150520,2017,.54689711,8.441,.55394423
150530,2017,.58497185,10.021,.61198974
150540,2017,.59713775,10.372,.62843734
150543,2017,.56190264,10.422001,.61170322
150548,2017,.58905745,9.5830002,.60145414
150549,2017,.51607358,9.8119993,.57412803
150550,2017,.58596563,9.9559994,.61061406
150553,2017,.56893849,10.789,.6256665
150555,2017,.50370431,8.6280003,.54209006
150560,2017,.56315303,10.053,.60224569
150563,2017,.53487694,10.063002,.58895671
150565,2017,.53625882,10.287001,.59530556
150570,2017,.58125806,9.7049999,.60126996
150580,2017,.5878706,8.5830002,.5733009
150590,2017,.53523242,9.9640007,.58663321
150600,2017,.52971929,9.4529991,.57154894
150610,2017,.55316675,9.8179998,.59124744
150611,2017,.5381496,8.6459999,.55556333
150613,2017,.55375361,10.446001,.60820752
150616,2017,.55307615,10.663,.61372769
150618,2017,.60908329,9.5749998,.61052126
150619,2017,.57398736,10.263,.61340284
150620,2017,.54319513,9.8859997,.58837086
150630,2017,.59810597,9.5310001,.60413587
150635,2017,.56673312,10.119,.60579222
150640,2017,.53891134,9.474,.5760572
150650,2017,.55473709,9.7910004,.59126824
150655,2017,.55789709,9.5889997,.58741367
150658,2017,.52270651,9.7709999,.57613641
150660,2017,.56967908,9.729001,.59654099
150670,2017,.5168618,9.0349998,.55631959
150680,2017,.57641393,10.738001,.62823731
150690,2017,.52544898,10.462,.59438962
150700,2017,.55639303,9.6339998,.58791274
150710,2017,.54335278,9.1860008,.57080889
150715,2017,.53775263,10.069,.59047413
150720,2017,.54455507,9.0719995,.56848305
150730,2017,.53636009,9.3249998,.57128024
150740,2017,.51741362,9.8249989,.57504159
150745,2017,.55428851,10.376,.60659361
150746,2017,.5204379,9.7080002,.57360911
150747,2017,.54829961,9.7589998,.58746916
150750,2017,.51622581,9.7880001,.57362777
150760,2017,.56324458,9.5159998,.58789134
150770,2017,.5799278,9.5680008,.59684366
150775,2017,.53131199,9.3640003,.57007718
150780,2017,.59156489,9.5209999,.60084587
150790,2017,.55422801,9.6800003,.58813083
150795,2017,.56602836,9.5300007,.58951217
150796,2017,.55441493,10.066999,.59839964
150797,2017,.56098104,10.333,.60879683
150800,2017,.55326319,10.236,.60233361
150803,2017,.54413056,9.9429998,.59026909
150805,2017,.57943654,9.2700005,.5884344
150808,2017,.5797056,9.9610004,.60771811
150810,2017,.56421793,10.185,.60636377
150812,2017,.54684359,10.848001,.61543423
150815,2017,.52912152,10.359,.59362561
150820,2017,.55492604,9.8509998,.592933
150830,2017,.52251852,9.382,.56676048
150835,2017,.58543855,10.200001,.61737287
150840,2017,.57327151,9.5140009,.59234172
160005,2017,.54498643,10.173,.59662396
160010,2017,.52392328,9.4920006,.56998026
160015,2017,.54275471,9.644001,.58201802
160020,2017,.58263016,9.3390007,.5917297
160021,2017,.54162407,9.6129999,.58072996
160023,2017,.53113645,10.018,.58606416
160025,2017,.56478733,9.3929996,.58532017
160027,2017,.55062544,9.6379995,.58540827
160030,2017,.58363622,10.301001,.61937952
160040,2017,.55191362,9.8170004,.59063971
160050,2017,.53806388,9.9029999,.5864169
160053,2017,.58140659,9.8060007,.60417092
160055,2017,.51571399,8.9250011,.55334139
160060,2017,.58521217,10.474,.62522793
160070,2017,.57895952,9.7379999,.601116
160080,2017,.55760491,9.8170004,.59328562
170000,2017,,,
170025,2017,.60374171,10.795001,.64493316
170030,2017,.60285461,10.615,.63886899
170035,2017,.66439605,11.402,.70189989
170040,2017,.59382552,11.391,.65779716
170070,2017,.60138261,11.029999,.65093857
170100,2017,.6030376,10.922999,.64853346
170105,2017,.63494897,10.862,.66480947
170110,2017,.66211402,11.393,.7001065
170130,2017,.59336162,10.573,.63247728
170190,2017,.58835053,10.875001,.63881844
170200,2017,.62719369,11.506,.68203056
170210,2017,.62244809,10.944,.66031766
170215,2017,.59954631,11.259,.65706217
170220,2017,.59489429,10.35,.62661213
170230,2017,.57647479,11.164,.64073527
170240,2017,.62326807,10.971,.66168207
170255,2017,.61910462,10.243,.635921
170270,2017,.61380994,11.36,.66886735
170290,2017,.54338384,10.593,.60682505
170300,2017,.53364986,11.326,.6209712
170305,2017,.55079162,11.359,.63160908
170307,2017,.57335687,10.6,.6226359
170310,2017,.58049786,11.049999,.63964629
170320,2017,.60008013,10.65,.63843733
170330,2017,.59698498,11.488,.66275698
170360,2017,.60375381,10.434,.63379186
170370,2017,.60839987,10.709001,.64482802
170380,2017,.58812714,10.692999,.63324839
170382,2017,.57388842,11.002999,.6345492
170384,2017,.608262,9.6480007,.6123085
170386,2017,.62863755,10.577,.65176445
170388,2017,.61690122,10.378,.63901716
170389,2017,.57995915,10.653001,.62767321
170390,2017,.60453308,11.608999,.6712873
170410,2017,.5826304,11.219,.64592135
170460,2017,.48651469,8.875,.54087096
170510,2017,.5912711,10.189,.61999547
170550,2017,.62445837,10.857,.65861219
170555,2017,.62928689,11.347,.67789793
170560,2017,.62050569,10.369,.6406461
170600,2017,.61246419,10.36,.63610625
170610,2017,.6791622,10.528,.67842424
170625,2017,.6615001,8.9189997,.61384892
170650,2017,.61941016,10.306,.63806909
170700,2017,.61867231,10.197001,.63425016
170710,2017,.60005653,11.155,.65409052
170720,2017,.61987168,11.198999,.66721392
170730,2017,.57018852,11.565,.64890975
170740,2017,.58454025,10.093,.61384135
170755,2017,.60006398,10.518,.63439584
170765,2017,.63722396,11.221001,.67842811
170770,2017,.55693316,10.749,.61811417
170820,2017,.62453508,11.012,.66377664
170825,2017,.57798839,11.655998,.65636551
170830,2017,.58739579,11.386,.65380055
170900,2017,.53615904,10.428999,.59889328
170930,2017,.62543011,10.663001,.65280092
170950,2017,.66080534,11.185,.691625
170980,2017,.54387331,11.375,.62808782
171050,2017,.52829874,11.222,.61525744
171070,2017,.57065684,10.575,.62050331
171090,2017,.56162822,10.693001,.61905527
171110,2017,.59782636,10.798,.64173895
171150,2017,.65167022,10.54,.66331077
171180,2017,.56572723,10.152,.60620385
171190,2017,.60198617,10.386,.63139617
171195,2017,.57534927,10.438999,.619084
171200,2017,.61476767,10.821,.65193665
171215,2017,.61713028,11.358999,.67085558
171240,2017,.58621091,11.051001,.64291507
171245,2017,.61253238,10.987,.65599078
171250,2017,.58872354,10.739,.63494569
171270,2017,.5580498,11.184999,.63086897
171280,2017,.58612823,10.787999,.63498878
171320,2017,.64341509,10.453,.65576649
171330,2017,.61198819,10.276001,.63324577
171360,2017,.63035166,10.719,.65740114
171370,2017,.58109504,8.6960001,.57364541
171380,2017,.6204952,11.150001,.66596496
171395,2017,.56266665,11.254,.6354512
171420,2017,.60504401,10.565001,.63851076
171430,2017,.61232507,10.128001,.62884551
171488,2017,.57031548,10.266999,.61166793
171500,2017,.59300119,10.912001,.64253521
171510,2017,.52464533,10.642001,.59849453
171515,2017,.64417422,11.444,.69056469
171525,2017,.60322332,10.417999,.63302231
