FID,NM_MUNICIP,CD_GEOCMU,x_cent,y_cent
92,PINHALZINHO,4212908,-52.976647194199998,-26.829315486799999
93,PIRATUBA,4213104,-51.772892519300001,-27.461222718100000
94,PLANALTO ALEGRE,4213153,-52.869105066400003,-27.052280034199999
95,PONTE SERRADA,4213401,-51.928333813800002,-26.861732421100001
96,PRESIDENTE CASTELLO BRANCO,4213906,-51.781088561300002,-27.233447571900001
97,PRINCESA,4214151,-53.611412815900003,-26.432822693300000
98,QUILOMBO,4214201,-52.718865421200000,-26.729239349800000
99,RIQUEZA,4215075,-53.344669675500000,-26.977385987800002
100,ROMELÂNDIA,4215208,-53.317081835899998,-26.648196640900000
101,SALTINHO,4215356,-53.022548923700001,-26.590536316100000
102,SANTA HELENA,4215554,-53.619629925900000,-26.921155973299999
103,SANTA TEREZINHA DO PROGRESSO,4215687,-53.169970572300002,-26.592419455400002
104,SANTIAGO DO SUL,4215695,-52.697677759800001,-26.630837127600000
105,SÃO BERNARDINO,4215752,-52.987446950699997,-26.487874647600002
106,SÃO CARLOS,4216008,-53.031353265200003,-27.030275913000001
107,SÃO DOMINGOS,4216107,-52.554401442500001,-26.539291133100001
108,SÃO JOÃO DO OESTE,4216255,-53.591873501400002,-27.091406841800001
109,SÃO JOSÉ DO CEDRO,4216701,-53.533547430299997,-26.480823704100001
110,SÃO LOURENÇO DO OESTE,4216909,-52.859833841499999,-26.465787212799999
111,SÃO MIGUEL DA BOA VISTA,4217154,-53.239525733599997,-26.688677349999999
112,SÃO MIGUEL DO OESTE,4217204,-53.512050044500000,-26.726997612100000
113,SAUDADES,4217303,-53.039918611099999,-26.897234035200000
114,SEARA,4217501,-52.340276659399997,-27.147600944600001
115,SERRA ALTA,4217550,-53.025378578300000,-26.693679499600002
116,SUL BRASIL,4217758,-52.946837182499998,-26.695333984900000
117,TIGRINHOS,4217956,-53.156667584300003,-26.675937233300001
118,TUNÁPOLIS,4218756,-53.649313614599997,-26.987449997599999
119,UNIÃO DO OESTE,4218855,-52.856388755399998,-26.786969554599999
120,VARGEÃO,4219101,-52.124191291400003,-26.778013754700002
121,VARGEM BONITA,4219176,-51.756089710799998,-26.945596586299999
122,XANXERÊ,4219507,-52.409776617600002,-26.872334816399999
123,XAVANTINA,4219606,-52.322602951100002,-27.021209858999999
124,XAXIM,4219705,-52.529338544900000,-26.970111874699999
125,ZORTÉA,4219853,-51.535717673000001,-27.477127732300001
126,LAGOA MIRIM,4300001,-52.973141545600001,-32.753333755299998
127,ACEGUÁ,4300034,-54.138992566399999,-31.690952514999999
128,ÁGUA SANTA,4300059,-52.051326564599997,-28.214372102199999
129,AGUDO,4300109,-53.226635604400002,-29.608380619500000
130,AJURICABA,4300208,-53.737237598500002,-28.210242355999998
131,ALECRIM,4300307,-54.783164644800003,-27.651671896000000
132,ALEGRETE,4300406,-55.835549206700001,-29.764107968000001
133,ALEGRIA,4300455,-54.056280605799998,-27.814075758600001
134,ALMIRANTE TAMANDARÉ DO SUL,4300471,-52.907474182700000,-28.130489389899999
135,ALPESTRE,4300505,-53.063169711100002,-27.216962731599999
136,ALTO ALEGRE,4300554,-52.988836933000002,-28.804773927999999
137,AMARAL FERRADOR,4300638,-52.317540325300001,-30.810488682700001
138,AMETISTA DO SUL,4300646,-53.192503016499998,-27.365324493300001
139,ANTA GORDA,4300703,-51.995009446899999,-28.970644071100001
140,ARAMBARÉ,4300851,-51.578510203299999,-30.919229101500001
141,ARATIBA,4300901,-52.302519474800000,-27.387487501100001
142,ARROIO DO MEIO,4301008,-51.965085097200003,-29.362427354499999
143,ARROIO DO PADRE,4301073,-52.397844200999998,-31.440748258799999
144,ARROIO DOS RATOS,4301107,-51.751921057099999,-30.193173075899999
145,ARROIO DO TIGRE,4301206,-53.052605860800000,-29.259083672500001
146,ARROIO GRANDE,4301305,-52.919376968500003,-32.189513383399998
147,ARVOREZINHA,4301404,-52.186245167800003,-28.864201058599999
148,AUGUSTO PESTANA,4301503,-54.006782894499999,-28.534360740299999
149,ÁUREA,4301552,-52.076634835900002,-27.708736662100002
150,BAGÉ,4301602,-54.016758556500001,-31.236724534800000
151,BARÃO DE COTEGIPE,4301701,-52.417248633500002,-27.567703674200001
152,BARÃO DO TRIUNFO,4301750,-51.798447704300003,-30.417452974700002
153,BARRA DO GUARITA,4301859,-53.763416958400001,-27.205571625499999
154,BARRA DO QUARAÍ,4301875,-57.335462364599998,-30.151561458900002
155,BARRA DO RIO AZUL,4301925,-52.406895786400000,-27.403127263700000
156,BARRA FUNDA,4301958,-53.016547545700000,-27.921978022400001
157,BARROS CASSAL,4302006,-52.588817045500001,-29.113453969799998
158,BENJAMIN CONSTANT DO SUL,4302055,-52.642559077199998,-27.484892309799999
159,BOA VISTA DAS MISSÕES,4302154,-53.341504133999997,-27.701835818199999
160,BOA VISTA DO BURICÁ,4302204,-54.099559684299997,-27.675186690400000
161,BOA VISTA DO CADEADO,4302220,-53.837502470399997,-28.656478961000001
162,BOA VISTA DO INCRA,4302238,-53.461519627000001,-28.865715235000000
163,BOA VISTA DO SUL,4302253,-51.672530316000000,-29.351315246500000
164,BOM PROGRESSO,4302378,-53.848929492200000,-27.545473871799999
165,BOM RETIRO DO SUL,4302402,-51.922493999200000,-29.637751774100000
166,BOQUEIRÃO DO LEÃO,4302451,-52.414100610299997,-29.305627506899999
167,BOSSOROCA,4302501,-54.971313460300003,-28.661800808300001
168,BOZANO,4302584,-53.751641857800003,-28.354914154799999
169,BRAGA,4302600,-53.743034643199998,-27.580115901999999
170,BROCHIER,4302659,-51.622282155699999,-29.537089817300000
171,BUTIÁ,4302709,-52.004833773100003,-30.183593164700000
172,CAÇAPAVA DO SUL,4302808,-53.477940123099998,-30.593422915900000
173,CACEQUI,4302907,-54.802372813399998,-29.920539242899999
174,CACHOEIRA DO SUL,4303004,-52.986383798500000,-30.206239072999999
