ibge,ano,n_families_pbf,value_pbf
150175,2004,403.5833333333333,366123
150178,2004,1409.166666666667,1440524
150180,2004,3913.666666666667,3813111
150190,2004,577,558797
150195,2004,285.9166666666667,272383
150200,2004,216.1666666666667,215044
150210,2004,1243.5,1198846
150215,2004,123.5833333333333,97631
150220,2004,1417.25,1236312
150230,2004,953.75,933290
150240,2004,3466.666666666667,2987032
150250,2004,1024.083333333333,961040
150260,2004,121.8333333333333,107928
150270,2004,806.75,712535
150275,2004,735.5,696615
150276,2004,79.58333333333333,67635
150277,2004,160,131107
150280,2004,625.5,611465
150285,2004,262.75,244301
150290,2004,1035.5,972611
150293,2004,1827.833333333333,1741953
150295,2004,540.25,461999
150300,2004,197.4166666666667,145031
150304,2004,483.4166666666667,444384
150307,2004,834.9166666666666,728309
150309,2004,688.6666666666666,588280
150310,2004,252,243392
150320,2004,1798.25,1678365
150330,2004,2434.25,2301180
150340,2004,88.33333333333333,67989
150345,2004,1260.833333333333,1226656
150350,2004,676.4166666666666,639478
150360,2004,2777.083333333333,2645649
150370,2004,1824,1597121
150375,2004,172,143803
150380,2004,918.5,838029
150390,2004,1491.583333333333,1477653
150400,2004,478.4166666666667,476285
150405,2004,1872.166666666667,1723431
150410,2004,160.3333333333333,159424
150420,2004,2923.5,2563988
150430,2004,300.3333333333333,290145
150440,2004,532.8333333333334,490893
150442,2004,3182.333333333333,2255992
150445,2004,156.0833333333333,134285
150450,2004,776.5833333333334,805503
150460,2004,38.83333333333334,31340
150470,2004,3958.583333333333,3698459
150480,2004,2153.583333333333,1992049
150490,2004,65.58333333333333,61805
150495,2004,677.25,630439
150497,2004,376.3333333333333,311628
150500,2004,120.8333333333333,113020
150503,2004,512.6666666666666,357527
150506,2004,2110.5,2083077
150510,2004,2057.166666666667,2017487
150520,2004,1533.5,1603154
150530,2004,1384.833333333333,1374318
150540,2004,972.75,947796
150543,2004,652.3333333333334,571574
150548,2004,1146.583333333333,1089801
150549,2004,492.0833333333333,426465
150550,2004,2901.916666666667,2714728
150553,2004,3436.25,3025466
150555,2004,168.6666666666667,151069
150560,2004,300.25,273266
150563,2004,216.6666666666667,204181
150565,2004,514.25,506726
150570,2004,1024.833333333333,938649
150580,2004,1929.166666666667,1904540
150590,2004,811.1666666666666,792213
150600,2004,1171.75,1140718
150610,2004,587.4166666666666,502056
